ID	Name	TYPE1	TYPE2	STAND	WALK
129	Skavid	2	114	257	254
130	Yeti	58	115	296	293
131	Penguin	2	90	5668	5666
132	Monkey	3	116	222	219
133	Black unicorn	27	110	6374	6373
134	Poison spider	64	17	5326	5325
135	Mammoth	41	1412	306	303
136	Mounted terrorchick gnome	0	503	6798	6799
137	Terrorchick gnome	0	503	6798	6799
138	Terrorbird	28	15	1008	1007
139	Terrorbird	28	15	1008	1007
140	Soulless	18	1419	337	336
141	Big Wolf	73	97	6580	6556
142	Wolf	25	97	6580	6556
143	Jungle Wolf	64	97	6580	6556
144	King Scorpion	32	1414	6252	6253
145	Ice warrior	57	111	842	841
146	Gull	0	83	6771	6773
147	Cormorant	0	1399	6772	-1
148	Pelican	0	85	6772	6774
149	Gull	0	83	6771	6773
150	Gull	0	83	6771	6773
151	Fly trap	0	-1	-1	-1
153	Butterfly	0	89	362	362
154	Butterfly	0	89	362	362
155	Butterfly	0	89	362	362
156	Butterfly	0	89	362	362
157	Butterfly	0	89	362	362
158	Shadow warrior	48	111	842	841
159	Gnome child	1	108	195	189
160	Gnome child	1	108	195	189
161	Gnome child	1	108	195	189
162	Gnome trainer	0	108	195	189
163	Gnome guard	23	108	195	189
164	Gnome guard	23	108	195	189
165	Gnome shop keeper	0	108	195	189
166	Gnome banker	0	506	195	195
167	Gnome baller	0	108	195	189
168	Gnome woman	1	108	195	189
169	Gnome woman	1	108	195	189
170	Man	2	53	813	1146
171	Brimstail	0	108	195	189
172	Dark wizard	20	4	808	819
173	Invrigar the Necromancer	20	4	808	819
174	Dark wizard	7	4	808	819
175	Mugger	6	4	808	819
176	Witch	25	4	808	819
177	Witch	25	4	808	819
178	Black Knight	33	4	808	819
179	Black Knight	33	4	808	819
180	Highwayman	5	4	808	819
181	Chaos druid	13	123	8528	8527
182	Pirate	23	35	7188	7191
183	Pirate	23	35	7188	7191
184	Pirate	26	35	7188	7191
185	Pirate	23	4	808	819
186	Thug	10	4	808	819
187	Rogue	15	4	808	819
188	Monk of Zamorak	22	4	808	819
189	Monk of Zamorak	17	4	808	819
190	Monk of Zamorak	45	4	808	819
191	Tribesman	32	886	813	9724
192	Dark warrior	8	4	808	819
193	Chaos druid warrior	37	4	808	819
194	Necromancer	26	4	808	819
195	Bandit	22	4	808	819
196	Guard Bandit	22	4	808	819
197	Barbarian guard	8	4	808	819
198	Guildmaster	0	4	808	819
199	Gunthor the Brave	29	4	808	819
200	Lord Daquarius	0	4	808	819
201	Jailer	47	4	808	819
202	Black Heather	34	4	808	819
203	Donny the Lad	34	4	808	819
204	Speedy Keith	34	4	808	819
205	Salarin the Twisted	70	4	808	819
206	Guard	10	2	101	98
207	Lollk	0	2	101	98
208	Captain Lawgof	0	2	101	98
209	Nulodion	0	2	101	98
210	Grail Maiden	0	4	808	819
211	Sir Percival	0	4	808	819
212	King Percival	0	4	808	819
214	Peasant	0	4	808	819
215	Peasant	0	4	808	819
216	High Priest	0	4	808	819
217	Crone	0	4	808	819
218	Galahad	0	4	808	819
219	Fisherman	0	4	808	819
220	The Fisher King	0	119	813	819
221	Black Knight Titan	120	59	130	127
222	Monk	5	4	808	819
223	Brother Kojo	0	4	808	819
224	Dungeon rat	12	133	4932	4931
225	Bonzo	0	4	808	819
227	Morris	0	1050	3845	-1
228	Big Dave	0	4	808	819
229	Joshua	0	4	808	819
230	Grandpa Jack	0	4	808	819
231	Forester	0	4	808	819
232	Austri	0	2	101	98
233	Fishing spot	0	178	9645	9645
234	Fishing spot	0	178	9645	9645
235	Fishing spot	0	178	9645	9645
236	Fishing spot	0	178	9645	9645
237	Renegade Knight	37	237	6927	6928
238	Thrantax the Mighty	92	73	5538	5539
239	Sir Lancelot	0	4	808	819
240	Sir Gawain	0	119	813	819
241	Sir Kay	0	119	813	819
242	Sir Bedivere	0	4	808	819
243	Sir Tristram	0	4	808	819
244	Sir Pelleas	0	4	808	819
245	Sir Lucan	0	4	808	819
246	Beefy Bill	0	396	8943	819
247	Sir Mordred	39	95	6487	6486
248	Morgan Le Faye	0	119	813	819
249	Merlin	0	119	813	819
250	The Lady of the Lake	0	4	808	819
251	King Arthur	0	4	808	819
252	Beggar	0	4	808	819
253	Khazard Guard	0	4	808	819
254	Khazard Guard	0	4	808	819
255	Khazard Guard	23	4	808	819
256	Khazard Guard	23	4	808	819
257	Khazard Guard	25	4	808	819
259	Angor	0	4	808	819
260	Kelvin	0	4	808	819
261	Joe	0	4	808	819
262	Slave fighter	0	4	808	819
263	Hengrad	0	4	808	819
268	Local	0	4	808	819
269	Bouncer	137	229	6580	6582
270	Khazard ogre	63	1477	11462	10625
271	Khazard scorpion	44	929	6252	6262
272	Lucien	14	255	6469	6468
273	Lucien	0	255	6469	6468
274	Guardian of Armadyl	45	4	808	819
275	Guardian of Armadyl	43	4	808	819
276	Winelda	0	119	813	819
277	Fire Warrior of Lesarkus	84	4	808	819
278	Cook	0	117	9870	9869
279	Brother Omad	0	4	808	819
280	Brother Cedric	0	4	808	819
281	Monk	3	4	808	819
282	Thief	14	4	808	819
283	Head Thief	26	4	808	819
284	Doric	0	2	101	98
285	Veronica	0	4	808	819
286	Professor Oddenstein	0	4	808	819
287	Ernest	0	4	808	819
288	Chicken	0	50	2298	2297
289	Councillor Halgrive	0	4	808	819
290	Doctor Orbon	0	4	808	819
291	Farmer Brumty	0	4	808	819
296	Guard	21	105	7222	7223
297	Guard	21	106	7222	7224
298	Guard	21	105	7222	7223
299	Guard	21	107	7217	7216
300	Sedridor	0	119	813	819
301	Twig	0	-1	-1	-1
302	Hadley	0	4	808	819
303	Gerald	0	4	808	819
304	Almera	0	4	808	819
305	Hudon	0	165	7158	7160
306	Golrie	0	108	195	189
307	Hetty	0	4	808	819
308	Master fisher	0	4	808	819
309	Fishing spot	0	178	9645	9645
310	Fishing spot	0	178	9645	9645
311	Fishing spot	0	178	9645	9645
312	Fishing spot	0	178	9645	9645
313	Fishing spot	0	178	9645	9645
314	Fishing spot	0	178	9645	9645
315	Fishing spot	0	178	9645	9645
316	Fishing spot	0	178	9645	9645
317	Fishing spot	0	178	9645	9645
318	Fishing spot	0	178	9645	9645
319	Fishing spot	0	178	9645	9645
320	Fishing spot	0	178	9645	9645
321	Fishing spot	0	178	9645	9645
322	Fishing spot	0	178	9645	9645
323	Fishing spot	0	178	9645	9645
324	Fishing spot	0	178	9645	9645
325	Fishing spot	0	178	9645	9645
326	Fishing spot	0	178	9645	9645
327	Fishing spot	0	178	9645	9645
328	Fishing spot	0	178	9645	9645
329	Fishing spot	0	178	9645	9645
330	Fishing spot	0	178	9645	9645
331	Fishing spot	0	178	9645	9645
332	Fishing spot	0	178	9645	9645
333	Fishing spot	0	178	9645	9645
334	Fishing spot	0	178	9645	9645
336	Da Vinci	0	4	808	819
337	Da Vinci	0	79	1322	1323
338	Chancy	0	799	2713	-1
339	Chancy	0	79	1322	1323
340	Hops	0	798	2712	819
341	Hops	0	79	1322	1323
342	Guidor's wife	0	4	808	819
343	Guidor	0	276	4780	-1
344	Guard	0	4	808	819
345	Guard	0	51	4591	4226
346	Guard	0	51	4591	4226
347	Mourner	11	119	813	819
348	Mourner	24	4	808	819
349	Kilron	0	4	808	819
350	Omart	0	4	808	819
351	Man	4	4	808	819
352	Woman	3	4	808	819
353	Woman	4	4	808	819
354	Woman	3	4	808	819
355	Child	0	165	7158	7160
356	Child	0	165	7158	7160
357	Mourner	18	119	813	819
358	Priest	0	4	808	819
359	Man	0	4	808	819
360	Woman	4	4	808	819
361	Woman	12	4	808	819
362	Woman	3	4	808	819
363	Woman	14	4	808	819
364	King Lathas	0	4	808	819
365	Paladin	59	4	808	819
366	Jerico	0	4	808	819
367	Chemist	0	4	808	819
368	Guard	0	29	813	1205
369	Mourner	24	4	808	819
370	Mourner	13	4	808	819
371	Mourner	12	4	808	819
372	Mourner	0	4	808	819
373	Nurse Sarah	0	4	808	819
374	Ogre	58	321	10626	10625
375	Redbeard Frank	0	4	808	819
376	Captain Tobias	0	4	808	819
377	Seaman Lorris	0	4	808	819
378	Seaman Thresnor	0	4	808	819
379	Luthas	0	4	808	819
380	Customs officer	0	4	808	819
382	Dwarf	0	2	101	98
383	Stankers	0	2	101	98
384	Barbarian guard	0	102	2065	2064
385	Kharid Scorpion	0	272	6258	6257
386	Kharid Scorpion	0	272	6258	6257
387	Kharid Scorpion	0	272	6258	6257
388	Seer	0	4	808	819
389	Thormac	0	119	813	819
397	Cow	2	66	5852	5848
398	Legends guard	0	29	813	1205
399	Legends guard	0	29	813	1205
400	Radimus Erkle	0	-1	-1	-1
401	Jungle forester	0	4	808	819
402	Jungle forester	0	4	808	819
404	Eluned	0	4	808	819
406	Lokar Searunner	0	35	7188	7191
407	Captain Bentley	0	35	7188	7191
408	Captain Bentley	0	35	7188	7191
409	Genie	0	666	792	792
410	Mysterious Old Man	0	4	808	819
411	Swarm	0	49	0	0
412	Bat	6	76	4914	4913
418	Leprechaun	0	671	1717	334
419	Leprechaun	0	667	351	335
420	High Priest	0	942	7333	7333
421	High Priest	0	942	7333	7333
422	Captain Undak	0	214	6040	6041
426	Captain Undak	0	214	6040	6041
427	Captain Undak	0	214	6040	6041
428	Captain Undak	0	686	11289	6041
429	Captain Undak	0	214	6040	6041
430	Captain Undak	0	214	6040	6041
432	Cyrisus	138	4	808	819
433	Cyrisus	138	4	808	819
434	Cyrisus	138	4	808	819
435	Fallen Man	0	1187	6280	6280
436	Fallen Man	0	1185	6282	6282
437	Cap'n Izzy No-Beard	0	4	808	819
438	Torzek	0	214	6040	6041
440	Andil	0	1458	5750	6042
442	Delgon	0	1459	5751	6042
444	Goblin	5	86	6181	6180
445	Goblin	5	87	6186	6187
446	Giant rat	3	9	4932	4931
447	Jail guard	26	4	808	819
448	Jail guard	26	4	808	819
449	Jail guard	26	4	808	819
450	Gull	0	83	6771	6773
451	Gull	0	83	6771	6773
452	Seth Groats	0	1572	2163	2164
453	Suit of armour	19	118	-1	819
454	Sanfew	0	123	8528	8527
455	Kaqemeex	0	123	8528	8527
456	Father Aereck	0	117	9870	9869
457	Restless ghost	0	4	808	819
458	Father Urhney	0	4	808	819
459	Skeleton	13	71	5483	5479
460	Wizard Frumscone	0	4	808	819
461	Magic Store owner	0	4	808	819
462	Wizard Distentor	0	119	813	819
463	Murphy	0	4	808	819
464	Murphy	0	4	808	819
465	Murphy	0	4	808	819
466	Murphy	0	4	808	819
467	Shark	0	151	10	10
468	Shark	0	151	10	10
469	King Bolren	0	108	195	189
470	Commander Montai	0	108	195	189
471	Bolkoy	0	108	195	189
472	Remsai	0	108	195	189
475	Khazard trooper	19	4	808	819
476	Khazard trooper	19	119	813	819
477	Khazard warlord	112	4	808	819
478	Khazard commander	48	226	813	1205
479	Gnome troop	1	108	195	189
480	Gnome troop	1	108	195	189
481	Tracker gnome 1	0	108	195	189
482	Tracker gnome 2	0	108	195	189
483	Tracker gnome 3	0	108	195	189
484	Local Gnome	0	108	195	189
485	Local Gnome	0	108	195	189
486	Kalron	0	108	195	189
487	Giant	0	674	6857	-1
488	Observatory professor	0	4	808	819
489	Goblin guard	42	271	6200	6201
490	Mummy	0	678	6856	-1
491	Ghost	24	73	5538	5539
492	Spirit of Scorpius	0	73	5538	5539
493	Grave scorpion	12	272	6258	6257
494	Banker	0	92	808	808
495	Banker	0	92	808	808
496	Banker	0	92	808	808
497	Banker	0	92	808	808
498	Banker	0	1270	112	112
499	Banker	0	92	808	808
500	Mosol Rei	0	119	813	819
501	Spirit of Zadimus	0	74	5530	5531
502	Undead one	68	71	5483	5479
503	Undead one	61	71	5483	5479
504	Undead one	68	67	5565	5566
505	Undead one	73	38	5572	5570
506	Rashiliyia	0	74	5530	5531
507	Nazastarool	91	1030	5572	5582
508	Nazastarool	68	1029	5505	5506
509	Nazastarool	93	74	5530	5531
510	Hajedy	0	4	808	819
511	Vigroy	0	4	808	819
512	Kaleb Paramaya	0	4	808	819
513	Yohnus	0	4	808	819
514	Seravel	0	4	808	819
515	Yanni Salika	0	4	808	819
516	Obli	0	4	808	819
517	Fernahei	0	4	808	819
518	Captain Shanks	0	4	808	819
519	Bob	0	117	9870	9869
520	Shopkeeper	0	117	9870	9869
521	Shop assistant	0	117	9870	9869
522	Shopkeeper	0	4	808	819
523	Shop assistant	0	4	808	819
524	Shopkeeper	0	4	808	819
525	Shop assistant	0	4	808	819
526	Shopkeeper	0	4	808	819
527	Shop assistant	0	4	808	819
528	Shopkeeper	0	4	808	819
529	Shop assistant	0	4	808	819
530	Shopkeeper	0	4	808	819
531	Shop assistant	0	4	808	819
532	Shopkeeper	0	4	808	819
533	Shop assistant	0	4	808	819
534	Fairy shopkeeper	0	32	112	106
535	Fairy shop assistant	0	32	112	106
536	Valaine	0	4	808	819
537	Scavvo	0	4	808	819
538	Peksa	0	4	808	819
539	Silk trader	0	4	808	819
540	Gem trader	0	4	808	819
541	Zeke	0	4	808	819
542	Louie Legs	0	4	808	819
543	Karim	0	4	808	819
544	Ranael	0	4	808	819
545	Dommik	0	4	808	819
546	Zaff	0	119	813	819
547	Baraek	0	4	808	819
548	Thessalia	0	4	808	819
549	Horvik	0	4	808	819
550	Lowe	0	4	808	819
551	Shopkeeper	0	4	808	819
552	Shop assistant	0	4	808	819
553	Aubury	0	4	808	819
554	Fancy-dress shop owner	0	4	808	819
555	Shopkeeper	0	4	808	819
556	Grum	0	4	808	819
557	Wydin	0	4	808	819
558	Gerrant	0	29	813	1205
559	Brian	0	4	808	819
560	Jiminua	0	4	808	819
561	Shopkeeper	0	4	808	819
562	Candle-maker	0	4	808	819
563	Arhein	0	4	808	819
564	Jukat	0	32	112	106
565	Lunderwin	0	32	112	106
566	Irksol	0	4	808	819
567	Fairy	0	32	112	106
568	Zambo	0	4	808	819
569	Silver merchant	0	4	808	819
570	Gem merchant	0	4	808	819
571	Baker	0	4	808	819
572	Spice seller	0	4	808	819
573	Fur trader	0	4	808	819
574	Silk merchant	0	4	808	819
575	Hickton	0	4	808	819
576	Harry	0	4	808	819
577	Cassie	0	4	808	819
578	Frincos	0	4	808	819
579	Drogo dwarf	0	2	101	98
580	Flynn	0	4	808	819
581	Wayne	0	4	808	819
582	Dwarf	0	2	101	98
583	Betty	0	4	808	819
584	Herquin	0	4	808	819
585	Rommik	0	4	808	819
586	Gaius	0	4	808	819
587	Jatix	0	123	8528	8527
588	Davon	0	4	808	819
589	Zenesha	0	4	808	819
590	Aemad	0	4	808	819
591	Kortan	0	4	808	819
592	Roachey	0	4	808	819
593	Frenita	0	4	808	819
594	Nurmof	0	2	101	98
595	Tea seller	0	4	808	819
596	Fat Tony	0	4	808	819
597	Noterazzo	0	4	808	819
598	Hairdresser	0	4	808	819
599	Make-over Mage	0	29	813	1205
600	Hudo	0	108	195	189
601	Rometti	0	108	195	189
602	Gulluck	0	108	195	189
603	Heckel Funch	0	108	195	189
604	Thurgo	0	2	101	98
605	Sir Vyvin	0	4	808	819
606	Squire	0	119	813	819
607	Gunnjorn	0	4	808	819
608	Sir Amik Varze	0	4	808	819
609	Fortress Guard	20	29	813	1205
610	Black Knight Captain	0	4	808	819
611	Witch	0	29	813	1205
612	Greldo	0	271	6200	6201
613	Digsite workman	0	4	808	819
614	Doug Deeping	0	4	808	819
615	Student	0	4	808	819
616	Student	0	4	808	819
617	Student	0	4	808	819
618	Examiner	0	4	808	819
619	Archaeological expert	0	4	808	819
620	Panning guide	0	4	808	819
621	Gnome baller	0	108	195	189
622	Gnome baller	0	108	195	189
623	Gnome baller	0	319	205	205
624	Gnome baller	0	318	208	208
625	Gnome baller	0	108	195	189
626	Gnome baller	0	108	195	189
627	Gnome baller	0	319	205	205
628	Gnome baller	0	318	208	208
629	Gnome baller	0	108	195	189
630	Gnome baller	0	108	195	189
631	Gnome baller	0	319	205	205
632	Gnome baller	0	318	208	208
633	Gnome winger	0	108	195	189
634	Gnome winger	0	108	195	189
635	Gnome ball referee	0	108	195	189
636	Cheerleader	0	108	195	189
637	Juliet	0	4	808	819
638	Apothecary	0	4	808	819
639	Romeo	0	4	808	819
640	Father Lawrence	0	4	808	819
641	Charlie the Tramp	0	4	808	819
642	Katrine	0	4	808	819
643	Weaponsmaster	23	4	808	819
644	Straven	0	4	808	819
645	Jonny the beard	2	4	808	819
646	Curator Haig Halen	0	4	808	819
648	King Roald	0	4	808	819
649	Archer	0	4	808	819
650	Warrior	0	4	808	819
651	Monk	0	4	808	819
652	Wizard	0	119	813	819
653	Fairy Queen	0	-1	-1	-1
654	Shamus	0	1511	5806	11696
655	Tree spirit	101	74	5530	5531
656	Cave monk	0	4	808	819
657	Monk of Entrana	0	4	808	819
658	Monk of Entrana	0	4	808	819
659	Party Pete	0	324	9227	9226
660	Knight	0	325	784	819
661	Megan	0	4	808	819
662	Lucy	0	4	808	819
663	Man	0	4	808	819
665	Boot	0	2	101	98
666	Caleb	0	4	808	819
667	Chronozon	170	75	66	63
668	Johnathon	0	4	808	819
669	Hazelmere	0	-1	-1	-1
670	King Narnode Shareen	0	108	195	189
671	Glough	0	108	195	189
672	Anita	0	108	195	189
673	Charlie	0	4	808	819
674	Foreman	23	4	808	819
675	Shipyard worker	0	4	808	819
676	Femi	0	108	195	189
677	Black demon	172	75	66	63
678	Guard	37	4	808	819
679	Ranging Guild Doorman	0	4	808	819
680	Leatherworker	0	4	808	819
681	Held vampyre juvinate	59	170	3551	-1
682	Armour salesman	0	4	808	819
683	Bow and Arrow salesman	0	4	808	819
684	Tower Advisor	0	4	808	819
685	Tower Advisor	0	4	808	819
686	Tower Advisor	0	4	808	819
687	Tower Advisor	0	4	808	819
688	Tower Archer	19	4	808	819
689	Tower Archer	34	4	808	819
690	Tower Archer	49	4	808	819
691	Tower Archer	64	4	808	819
692	Tribal Weapon Salesman	0	4	808	819
693	Competition Judge	0	4	808	819
694	Ticket Merchant	0	4	808	819
695	Bailey	0	4	808	819
696	Caroline	0	4	808	819
698	Holgart	0	29	813	1205
699	Holgart	0	29	813	1205
700	Holgart	0	29	813	1205
701	Kent	0	29	813	1205
702	Fisherman	0	1111	4825	4779
703	Fisherman	0	1111	4825	4779
704	Fisherman	0	1111	4825	4779
705	Melee Tutor	0	204	9868	9869
706	Wizard Mizgog	0	4	808	819
707	Wizard Grayzag	0	4	808	819
708	Imp	2	130	171	168
709	Imp	3	130	171	168
710	Alrena	0	4	808	819
711	Bravek	0	4	808	819
712	Carla	0	4	808	819
713	Clerk	0	4	808	819
714	Edmond	0	29	813	1205
716	Head mourner	0	4	808	819
717	Mourner	0	4	808	819
718	Mourner	0	4	808	819
719	Mourner	0	4	808	819
720	Recruiter	0	119	813	819
721	Ted Rehnison	0	4	808	819
722	Martha Rehnison	0	4	808	819
723	Billy Rehnison	0	165	7158	7160
724	Milli Rehnison	0	165	7158	7160
725	Jethick	0	4	808	819
726	Man	0	4	808	819
727	Man	0	4	808	819
728	Man	0	4	808	819
729	Man	0	4	808	819
730	Man	0	4	808	819
731	Bartender	0	4	808	819
732	Bartender	0	4	808	819
733	Bartender	0	4	808	819
734	Bartender	0	4	808	819
735	Bartender	0	4	808	819
736	Emily	0	4	808	819
737	Bartender	0	4	808	819
738	Bartender	0	4	808	819
739	Bartender	0	4	808	819
740	Trufitus	0	29	813	1205
741	Duke Horacio	0	117	9870	9869
742	Elvarg	83	77	90	79
743	Ned	0	4	808	819
744	Klarense	0	4	808	819
745	Wormbrain	2	86	6181	6180
746	Oracle	0	4	808	819
747	Oziach	0	4	808	819
749	Angry barbarian spirit	166	1250	6729	6730
750	Enraged barbarian spirit	166	1250	6729	6730
751	Berserk barbarian spirit	166	1250	6729	6730
752	Ferocious barbarian spirit	166	1250	6729	6730
753	Melzar the Mad	43	4	808	819
754	Peaceful barbarian spirit	0	-1	-1	-1
755	Morgan	0	4	808	819
756	Dr Harlow	0	290	3040	3039
757	Count Draynor	34	4	808	819
758	Fred the Farmer	0	29	813	1205
760	Kittens	0	302	9208	9210
761	Kitten	0	127	9158	9156
762	Kitten	0	127	9158	9156
763	Kitten	0	127	9158	9156
764	Kitten	0	127	9158	9156
765	Kitten	0	127	9158	9156
766	Kitten	0	127	9158	9156
767	Crate	0	-1	-1	-1
768	Cat	0	41	9158	9157
769	Cat	0	41	9158	9157
770	Cat	0	41	9158	9157
771	Cat	0	41	9158	9157
772	Cat	0	41	9158	9157
773	Cat	0	41	9158	9157
774	Overgrown cat	0	41	9158	9157
775	Overgrown cat	0	41	9158	9157
776	Overgrown cat	0	41	9158	9157
777	Overgrown cat	0	41	9158	9157
778	Overgrown cat	0	41	9158	9157
779	Overgrown cat	0	41	9158	9157
780	Gertrude	0	4	808	819
781	Shilop	0	165	7158	7160
782	Philop	0	948	7163	-1
783	Wilough	0	165	7158	7160
784	Kanel	0	949	7164	-1
785	Civilian	0	4	808	819
786	Civilian	0	4	808	819
787	Civilian	0	4	808	819
788	Garv	0	4	808	819
789	Grubor	0	4	808	819
790	Farquie the Cleaner	0	397	8944	-1
791	Seth	0	4	808	819
792	Grip	22	4	808	819
793	Alfonse the waiter	0	4	808	819
794	Charlie the cook	0	4	808	819
795	Ice Queen	111	4	808	819
796	Achietties	0	4	808	819
797	Helemos	0	4	808	819
798	Velrak the explorer	0	4	808	819
799	Pirate Guard	19	4	808	819
800	Fishing spot	0	178	9645	9645
801	Abbot Langley	0	4	808	819
802	Brother Jered	0	4	808	819
803	Monk	5	4	808	819
804	Tanner	0	4	808	819
805	Master Crafter	0	4	808	819
806	Donovan the Family Handyman	0	4	808	819
807	Pierre	0	4	808	819
808	Hobbes	0	4	808	819
809	Louisa	0	4	808	819
810	Mary	0	4	808	819
811	Stanford	0	4	808	819
812	Guard	0	4	808	819
813	Gossip	0	4	808	819
814	Anna	0	240	808	6926
815	Bob	0	4	808	819
816	Carol	0	4	808	819
817	David	0	4	808	819
818	Elizabeth	0	4	808	819
819	Frank	0	4	808	819
820	Poison Salesman	0	4	808	819
821	Sinclair Guard dog	0	98	6561	6560
822	Ana	0	4	808	819
823	Ana	0	-1	-1	-1
824	Female slave	0	4	808	819
825	Male slave	0	4	808	819
826	Escaping slave	0	4	808	819
827	Rowdy slave	10	4	808	819
828	Shanty Claws	0	600	4738	4740
830	Mercenary Captain	47	4	808	819
831	Captain Siad	0	1063	1953	819
832	Al Shabim	0	119	813	819
833	Bedabin Nomad	0	4	808	819
834	Bedabin Nomad Guard	0	4	808	819
835	Irena	0	81	2702	819
836	Shantay	0	4	808	819
837	Shantay Guard	22	4	808	819
838	Shantay Guard	22	4	808	819
839	Desert Wolf	27	97	6580	6556
840	Ugthanki	42	259	9669	9670
841	Mine cart driver	0	4	808	819
842	Rowdy Guard	43	4	808	819
843	RPDT employee	0	4	808	819
845	Horacio	0	4	808	819
846	Kangai Mau	0	4	808	819
847	Head chef	0	4	808	819
848	Blurberry	0	108	195	189
849	Barman	0	108	195	189
850	Aluft Gianne snr.	0	108	195	189
851	Gnome Waiter	0	108	195	189
852	Ogre chieftain	81	1473	11467	11464
853	Og	0	321	10626	10625
854	Grew	0	321	10626	10625
855	Toban	0	321	10626	10625
856	Gorad	68	1477	11462	10625
857	Ogre guard	0	1476	11426	11463
858	Ogre guard	0	1477	11462	10625
859	Ogre guard	0	1477	11462	10625
860	Ogre guard	0	1477	11462	10625
861	Ogre guard	0	1477	11462	10625
862	City guard	83	1477	11462	10625
863	Scared skavid	0	114	257	254
864	Mad skavid	0	114	257	254
865	Skavid	0	114	257	254
